compound_id,mp_id,formula,theoretical,energy_above_hull_eV_per_atom,formation_energy_per_atom_eV,delta_energy_per_atom_eV,delta_icohp_per_atom_eV,bonding_label,viability_label,warnings
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,False,0.04234811749999956,-0.40022364833333235,0.40022364833333235,-4.6619193750000125,exobondic,stable_on_hull,
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,False,0.01520368538461625,-0.0721041215384599,0.0721041215384599,-9.919361538461526,exobondic,stable_on_hull,
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,False,0.007409683000005884,-0.5958528140000027,0.5958528140000027,-4.279001999999991,exobondic,stable_on_hull,
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,False,0.011756747500001552,-0.35935601750000185,0.35935601750000185,-2.7380105555555474,exobondic,stable_on_hull,
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,False,0.08062063166666178,-0.44921435583333863,0.44921435583333863,-2.241594166666669,exobondic,stable_on_hull,
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,False,0.026917590833335225,-0.5242963187500003,0.5242963187500003,-1.0028012500000028,exobondic,stable_on_hull,
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,False,0.026217794166670583,-0.2692301474999965,0.2692301474999965,-3.978703333333332,exobondic,stable_on_hull,
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,False,0.07945158115384565,-0.06609085384615444,0.06609085384615444,-2.1177400000000044,exobondic,stable_on_hull,
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,False,0.03151386449999993,-1.1858389340000008,1.1858389340000008,0.2576094999999981,endobondic,stable_on_hull,
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,False,0.016981658333333982,-0.5780275900000001,0.5780275900000001,-1.0110816666666669,exobondic,stable_on_hull,
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,False,0.0016006820000011857,-0.4217521700000006,0.4217521700000006,-1.0770699999999978,exobondic,stable_on_hull,
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,False,0.0005410511111105798,-0.8265425073333326,0.8265425073333326,-0.2263366666666684,exobondic,stable_on_hull,
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,False,0.05623419000000052,-0.841200041666666,0.841200041666666,-2.627934999999978,exobondic,stable_on_hull,
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,False,0.0029946146875001745,-0.9563266143749998,0.9563266143749998,0.6883662500000147,endobondic,stable_on_hull,
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,False,0.004232759166664213,-1.1927918180513661,1.1927918180513661,0.6733541666666687,endobondic,stable_on_hull,
exp_metastable_CsH_mp-632319,mp-632319,CsH,False,0.016097849999999525,-0.23149970437499867,0.23149970437499867,3.123319999999996,endobondic,stable_on_hull,
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,False,0.01263984624999992,0.01263984624999992,-0.01263984624999992,-1.1982574999999995,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,False,0.04490969833333569,-0.4170853777777766,0.4170853777777766,0.9186697222222234,endobondic,stable_on_hull,
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,False,0.09073754899999997,-0.1339630540000011,0.1339630540000011,-1.0918333333333279,exobondic,stable_on_hull,
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,False,0.012493755416668861,-0.566828659895832,0.566828659895832,0.7715466666666693,endobondic,stable_on_hull,
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,False,0.049447999166666534,-1.230554994166667,1.230554994166667,1.6923995833333383,endobondic,stable_on_hull,
exp_metastable_H3N_mp-643432,mp-643432,H3N,False,0.0038271875000006617,-0.3450917143750001,0.3450917143750001,0.35134749999999393,endobondic,stable_on_hull,
exp_metastable_HI_mp-697025,mp-697025,HI,False,0.004366291041667303,-0.17565745749999984,0.17565745749999984,0.674919375,endobondic,stable_on_hull,
exp_metastable_IF7_mp-27988,mp-27988,IF7,False,0.006252095624999399,-1.685239713125,1.685239713125,1.7140568750000145,endobondic,stable_on_hull,
exp_metastable_In3Ir_mp-630976,mp-630976,In3Ir,False,0.004296428125002194,-0.2710954262499996,0.2710954262499996,-8.030723749999998,exobondic,stable_on_hull,
exp_metastable_InCl_mp-571636,mp-571636,InCl,False,0.0016458790624991337,-1.1152362308333328,1.1152362308333328,-4.5868775000000035,exobondic,stable_on_hull,
exp_metastable_K2S_mp-559278,mp-559278,K2S,False,0.0872531616666663,-1.160633495104167,1.160633495104167,-0.2290427083333313,exobondic,stable_on_hull,
exp_metastable_Li13Sn5_mp-30769,mp-30769,Li13Sn5,False,0.0033475494444448195,-0.39301188268518394,0.39301188268518394,-0.21240314814815361,exobondic,stable_on_hull,
exp_metastable_Li3Hg_mp-1646,mp-1646,Li3Hg,False,0.0012975900000000706,-0.2939551318750002,0.2939551318750002,0.59751666666667,endobondic,stable_on_hull,
exp_metastable_MgCl2_mp-570259,mp-570259,MgCl2,False,0.0006391266666669893,-2.2548148149999996,2.2548148149999996,0.15449999999999994,endobondic,stable_on_hull,
exp_metastable_MgH2_mp-23711,mp-23711,MgH2,False,0.0018755891666670799,-0.2808434833333333,0.2808434833333333,-0.4410591666666681,exobondic,stable_on_hull,
exp_metastable_MgPd3_mp-7753,mp-7753,MgPd3,False,0.01137175124999068,-0.47724602249999126,0.47724602249999126,-5.599669999999997,exobondic,stable_on_hull,
exp_metastable_Mo3Se4_mp-21021,mp-21021,Mo3Se4,False,0.06087143499999925,-0.5819315730357175,0.5819315730357175,-2.80965357142857,exobondic,stable_on_hull,
exp_metastable_NaN3_mp-1066400,mp-1066400,NaN3,False,0.0029249474999994973,-0.16403737406250052,0.16403737406250052,-1.7991537500000145,exobondic,stable_on_hull,
exp_metastable_Nb2O5_mp-1595,mp-1595,Nb2O5,False,0.007537548265307947,-3.0266677264285726,3.0266677264285726,-2.068904107142864,exobondic,stable_on_hull,
exp_metastable_NiB_mp-14019,mp-14019,NiB,False,0.0018463106250017347,-0.24070358374999934,0.24070358374999934,-0.8092183333333285,exobondic,stable_on_hull,
exp_metastable_NiHg4_mp-570835,mp-570835,NiHg4,False,0.01705295800000073,0.017052957999993623,-0.017052957999993623,-0.36091866666666733,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
exp_metastable_NiS_mp-1547,mp-1547,NiS,False,0.014181840833332515,-0.6106647137499989,0.6106647137499989,-1.1476215624999968,exobondic,stable_on_hull,
exp_metastable_PS_mp-612,mp-612,PS,False,0.026489451484373205,-0.15083367289434513,0.15083367289434513,-0.025426056547609655,exobondic,stable_on_hull,
exp_metastable_PbAu2_mp-19871,mp-19871,PbAu2,False,0.004742635416668861,-0.06558400666666368,0.06558400666666368,-10.942591666666667,exobondic,stable_on_hull,
exp_metastable_PbSe_mp-22009,mp-22009,PbSe,False,0.07310882999999535,-0.5994639245312499,0.5994639245312499,-2.9524124999999968,exobondic,stable_on_hull,
exp_metastable_Rb2Hg7_mp-31474,mp-31474,Rb2Hg7,False,0.00452349037037425,-0.21101027361111335,0.21101027361111335,-1.1840987037037063,exobondic,stable_on_hull,
exp_metastable_Re3Ge7_mp-29141,mp-29141,Re3Ge7,False,0.012616640750003683,0.012616640750002262,-0.012616640750002262,-0.24568600000000346,exobondic,unstable_nonexistent,"exobondic sign means no bonding-derived kinetic barrier was found, but per Reitz & Dronskowski (ic-2026-04181q) this never proves the compound cannot exist -- slow, non-bond-breaking decomposition pathways (e.g. Mn2O7's gradual O2 loss) are not captured by this static sign criterion; check the literature before concluding UNSTABLE_NONEXISTENT."
exp_metastable_SiO2_mp-546794,mp-546794,SiO2,False,0.005647450555557043,-3.2671838933333333,3.2671838933333333,2.1419541666666597,endobondic,stable_on_hull,
exp_metastable_SiRh_mp-2287,mp-2287,SiRh,False,0.02456185499999819,-0.8163077637500002,0.8163077637500002,-1.0381712499999942,exobondic,stable_on_hull,
exp_metastable_SiS2_mp-1095294,mp-1095294,SiS2,False,0.003013171666665926,-0.7467867135416668,0.7467867135416668,0.9960462499999979,endobondic,stable_on_hull,
exp_metastable_Sn7Ir5_mp-20466,mp-20466,Sn7Ir5,False,0.002421364999996456,-0.29034646416666493,0.29034646416666493,-6.97373749999998,exobondic,stable_on_hull,
exp_metastable_Sr2As_mp-15697,mp-15697,Sr2As,False,0.08000544425926037,-1.0304650837962963,1.0304650837962963,-0.6668983333333364,exobondic,stable_on_hull,
exp_metastable_Sr5Sn3_mp-17720,mp-17720,Sr5Sn3,False,0.003021452500000521,-0.7373520218750009,0.7373520218750009,-2.197773124999999,exobondic,stable_on_hull,
exp_metastable_SrAl2_mp-1638,mp-1638,SrAl2,False,0.013571949999999333,-0.27150349333333307,0.27150349333333307,-7.321968333333328,exobondic,stable_on_hull,
exp_metastable_Ta7Co6_mp-1104548,mp-1104548,Ta7Co6,False,0.0014632612820477675,-0.23498456394871864,0.23498456394871864,-9.406477692307694,exobondic,stable_on_hull,
exp_metastable_Te2Au_mp-567525,mp-567525,Te2Au,False,0.027432493333336083,-0.0634716500000015,0.0634716500000015,-2.2308344444444486,exobondic,stable_on_hull,
exp_metastable_Te2Ir_mp-1551,mp-1551,Te2Ir,False,0.0030421406944398655,-0.3634775388888948,0.3634775388888948,-2.0298977777777742,exobondic,stable_on_hull,
exp_metastable_Ti3Ge_mp-1189044,mp-1189044,Ti3Ge,False,0.013003969652777059,-0.4815656843750009,0.4815656843750009,-1.3615618750000076,exobondic,stable_on_hull,
exp_metastable_Y2O3_mp-558573,mp-558573,Y2O3,False,0.03422779625000061,-3.9196441264999975,3.9196441264999975,1.1429610833333315,endobondic,stable_on_hull,
exp_metastable_ZnAg_mp-1912,mp-1912,ZnAg,False,0.011211470555556602,-0.024371359999998177,0.024371359999998177,-4.5782574999999905,exobondic,stable_on_hull,
exp_metastable_ZrBr_mp-1065846,mp-1065846,ZrBr,False,0.0007946975000017176,-1.2701712349999985,1.2701712349999985,-0.24890000000000345,exobondic,stable_on_hull,
exp_metastable_ZrGa3_mp-30685,mp-30685,ZrGa3,False,0.013019501250001397,-0.5133076262499987,0.5133076262499987,1.2247631250000008,endobondic,stable_on_hull,
exp_metastable_ZrRh_mp-2808,mp-2808,ZrRh,False,0.08393397999999763,-0.8013510275000009,0.8013510275000009,-1.1561075000000045,exobondic,stable_on_hull,
exp_stable_As2S3_mp-1189572,mp-1189572,As2S3,False,0.0,-0.15650999518749842,0.15650999518749842,-0.30639837499999845,exobondic,stable_on_hull,
exp_stable_AsF3_mp-28027,mp-28027,AsF3,False,0.0,-2.4719516212500006,2.4719516212500006,0.8953193750000059,endobondic,stable_on_hull,
exp_stable_BI3_mp-23189,mp-23189,BI3,False,0.0,-0.3473448510416679,0.3473448510416679,0.0005945833333296235,endobondic,stable_on_hull,
exp_stable_BW_mp-7832,mp-7832,BW,False,0.0,-0.35971011500000216,0.35971011500000216,-7.545794583333333,exobondic,stable_on_hull,
exp_stable_BaAu2_mp-30363,mp-30363,BaAu2,False,0.0,-0.7404507499999978,0.7404507499999978,-8.739236666666672,exobondic,stable_on_hull,
exp_stable_BaCl2_mp-568662,mp-568662,BaCl2,False,0.0,-2.96823858,2.96823858,-0.12700333333333447,exobondic,stable_on_hull,
exp_stable_BaH2_mp-23715,mp-23715,BaH2,False,0.0,-0.6047468716666676,0.6047468716666676,-0.49352833333333407,exobondic,stable_on_hull,
exp_stable_Be2Cu_mp-2031,mp-2031,Be2Cu,False,0.0,-0.1403742000000007,0.1403742000000007,-1.135625000000001,exobondic,stable_on_hull,
exp_stable_Be2Nb3_mp-11272,mp-11272,Be2Nb3,False,0.0,-0.13487592800000242,0.13487592800000242,-5.6161820000000064,exobondic,stable_on_hull,
exp_stable_Be2V_mp-11281,mp-11281,Be2V,False,0.0,-0.21818012416666596,0.21818012416666596,-3.0021300000000117,exobondic,stable_on_hull,
exp_stable_CaAl4_mp-1749,mp-1749,CaAl4,False,0.0,-0.22058213399999999,0.22058213399999999,-8.980873999999996,exobondic,stable_on_hull,
exp_stable_CaSn_mp-2450,mp-2450,CaSn,False,0.0,-0.6481111449999988,0.6481111449999988,-2.556897499999999,exobondic,stable_on_hull,
exp_stable_CdPd_mp-1696,mp-1696,CdPd,False,0.0,-0.3915251949999985,0.3915251949999985,-6.1699274999999965,exobondic,stable_on_hull,
exp_stable_CoB_mp-20857,mp-20857,CoB,False,0.0,-0.2975242550000008,0.2975242550000008,-4.753432083333314,exobondic,stable_on_hull,
exp_stable_Cs2As3_mp-15557,mp-15557,Cs2As3,False,0.0,-0.432719623362069,0.432719623362069,-0.13861200000000337,exobondic,stable_on_hull,
exp_stable_FeS_mp-505531,mp-505531,FeS,False,0.0,-0.7574410312499991,0.7574410312499991,0.1832834375000072,endobondic,stable_on_hull,
exp_stable_Ge2Os_mp-10032,mp-10032,Ge2Os,False,0.0,-0.0834786366666691,0.0834786366666691,0.1781700000000027,endobondic,stable_on_hull,
exp_stable_HfTc2_mp-1095669,mp-1095669,HfTc2,False,0.0,-0.40995929166666656,0.40995929166666656,-3.5918841666666643,exobondic,stable_on_hull,
