compound_id,mp_id,formula,bond_type,family,theoretical,energy_above_hull_eV_at,spacegroup_symbol,is_metal,formation_energy_per_atom,icobi_primary_mean,icobi_primary_pair,icohp_primary_mean,icohp_primary_pair,is_mixed_zintl,icobi_mean,icohp_mean,antibond_w_normalized,icobi_label
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,,exp_metastable,False,0.04234811749999956,P2_1/c,False,,0.26036875000000004,Ag-O,-2.0408341666666665,Ag-O,False,0.26036875000000004,-2.0408341666666665,0.0296572849092908,ionic
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,metallic,exp_metastable,False,0.01520368538461625,Im-3,True,,0.5026625,Al-W,-2.749166666666667,Al-W,False,0.5026625,-2.749166666666667,0.0,metallic
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,metallic,exp_metastable,False,0.007409683000005884,I4/mmm,True,,0.3022161111111111,Al-Os,-1.647578888888889,Al-Os,False,0.3022161111111111,-1.647578888888889,0.0037354889344144,metallic
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,,exp_metastable,False,0.011756747500001552,P-62m,True,,0.3410181481481481,As-Pd,-2.4185100000000004,As-Pd,False,0.3410181481481481,-2.4185100000000004,0.0076788440382992,metallic
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,,exp_metastable,False,0.08062063166666178,Pnma,True,,0.2437984090909091,As-Rh,-1.3777670454545452,As-Rh,False,0.2437984090909091,-1.3777670454545452,0.1157843614912694,metallic
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,,exp_metastable,False,0.026917590833335225,Pnma,True,,0.33232875,As-Rh,-1.863858333333333,As-Rh,False,0.33232875,-1.863858333333333,0.0448613196615397,metallic
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,metallic,exp_metastable,False,0.026217794166670583,P6/mmm,True,,0.2220892857142857,Sn-Sn,-0.8507485714285713,Sn-Sn,False,0.2220892857142857,-0.8507485714285713,0.0455749131254822,metallic
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,metallic,exp_metastable,False,0.07945158115384565,I4/mmm,True,,0.20776499999999992,Be-Be,-1.9466321212121214,Be-Be,False,0.20776499999999992,-1.9466321212121214,0.0,metallic
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,,exp_metastable,False,0.03151386449999993,P6_3/mmc,False,,0.4360530769230768,Be-N,-4.258047692307692,Be-N,False,0.4360530769230768,-4.258047692307692,0.0,ionic
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,metallic,exp_metastable,False,0.016981658333333982,P6/mmm,True,,0.97906,Ga-Ga,-3.8886966666666667,Ga-Ga,True,0.97906,-3.8886966666666667,0.0218624322794976,metallic
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,metallic,exp_metastable,False,0.0016006820000011857,C2/m,True,,0.4640907692307692,Ga-Ga,-2.1536238461538466,Ga-Ga,False,0.4640907692307692,-2.1536238461538466,0.0083612851431941,metallic
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,,exp_metastable,False,0.0005410511111105798,P-3m1,False,,0.4858983333333333,Cd-I,-2.4996266666666664,Cd-I,False,0.4858983333333333,-2.4996266666666664,0.0508148849797023,ionic
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,,exp_metastable,False,0.05623419000000052,Pa-3,False,,0.9738,O-O,-7.168032500000001,O-O,True,0.9738,-7.168032500000001,0.0539684500891265,mixed
