compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,reaction_string,delta_icohp_total,delta_icohp_per_atom
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,exp_metastable,,,False,0.04234811749999956,AgO -> Ag + 0.5 O2,37.29535500000017,4.661919375000021
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,exp_metastable,,,False,0.01520368538461625,0.08333 Al12W -> Al + 0.08333 W,128.9516999999999,9.919361538461532
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,exp_metastable,,,False,0.007409683000005884,0.3333 Al3Os2 -> Al + 0.6667 Os,21.395009999999985,4.279001999999997
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,exp_metastable,,,False,0.011756747500001552,AsPd2 -> As + 2 Pd,24.642094999999983,2.7380105555555536
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,exp_metastable,,,False,0.08062063166666178,AsRh2 -> As + 2 Rh,26.8991300000001,2.2415941666666748
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,exp_metastable,,,False,0.026917590833335225,AsRh -> As + Rh,8.022410000000065,1.002801250000008
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,exp_metastable,,,False,0.026217794166670583,BaSn5 -> Ba + 5 Sn,23.87222000000002,3.978703333333337
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,exp_metastable,,,False,0.07945158115384565,0.08333 Be12Pd -> Be + 0.08333 Pd,27.530620000000113,2.117740000000009
exp_metastable_Be3N2_mp-6977,mp-6977,Be3N2,exp_metastable,,,False,0.03151386449999993,0.3333 Be3N2 -> Be + 0.3333 N2,-2.5760949999998672,-0.2576094999999867
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,exp_metastable,,,False,0.016981658333333982,CaGa2 -> Ca + 2 Ga,3.0332450000000115,1.0110816666666704
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,exp_metastable,,,False,0.0016006820000011857,CaGa4 -> Ca + 4 Ga,5.385349999999988,1.0770699999999978
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,exp_metastable,,,False,0.0005410511111105798,CdI2 -> Cd + 2 I,0.6790100000000194,0.22633666666667315
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,exp_metastable,,,False,0.05623419000000052,CdO2 -> Cd + O2,31.535219999999768,2.627934999999981
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,exp_metastable,,,False,0.0029946146875001745,2 ClF3 -> Cl2 + 3 F2,-11.013860000000221,-0.6883662500000138
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,exp_metastable,,,False,0.004232759166664213,0.5 Cs2Se -> Cs + 0.5 Se,-8.080250000000014,-0.6733541666666678
exp_metastable_CsH_mp-632319,mp-632319,CsH,exp_metastable,,,False,0.016097849999999525,CsH -> Cs + 0.5 H2,-6.24663999999999,-3.123319999999995
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,exp_metastable,,,False,0.01263984624999992,0.3333 Cu3Ge -> Cu + 0.3333 Ge,9.58605999999999,1.1982574999999986
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,exp_metastable,,,False,0.04490969833333569,FeTe2 -> Fe + 2 Te,-11.024036666666653,-0.9186697222222211
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,exp_metastable,,,False,0.09073754899999997,0.25 Ge4Rh -> Ge + 0.25 Rh,16.377499999999884,1.0918333333333257
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,exp_metastable,,,False,0.012493755416668861,GeSe2 -> Ge + 2 Se,-4.629279999999987,-0.7715466666666645
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,exp_metastable,,,False,0.049447999166666534,H2O -> H2 + 0.5 O2,-20.308795000000046,-1.6923995833333372
exp_metastable_H3N_mp-643432,mp-643432,H3N,exp_metastable,,,False,0.0038271875000006617,0.6667 H3N -> H2 + 0.3333 N2,-5.621559999999917,-0.3513474999999948
exp_metastable_HI_mp-697025,mp-697025,HI,exp_metastable,,,False,0.004366291041667303,2 HI -> H2 + 2 I,-10.79871,-0.674919375
exp_metastable_IF7_mp-27988,mp-27988,IF7,exp_metastable,,,False,0.006252095624999399,IF7 -> I + 3.5 F2,-27.424910000000224,-1.714056875000014
exp_metastable_In3Ir_mp-630976,mp-630976,In3Ir,exp_metastable,,,False,0.004296428125002194,0.3333 In3Ir -> In + 0.3333 Ir,128.49157999999997,8.030723749999998
exp_metastable_InCl_mp-571636,mp-571636,InCl,exp_metastable,,,False,0.0016458790624991337,InCl -> In + 0.5 Cl2,18.347510000000042,4.586877500000011
exp_metastable_K2S_mp-559278,mp-559278,K2S,exp_metastable,,,False,0.0872531616666663,0.5 K2S -> K + 0.5 S,1.3742562499999948,0.22904270833333248
exp_metastable_Li13Sn5_mp-30769,mp-30769,Li13Sn5,exp_metastable,,,False,0.0033475494444448195,0.07692 Li13Sn5 -> Li + 0.3846 Sn,3.823256666666765,0.21240314814815361
exp_metastable_Li3Hg_mp-1646,mp-1646,Li3Hg,exp_metastable,,,False,0.0012975900000000706,0.3333 Li3Hg -> Li + 0.3333 Hg,-2.3900666666666837,-0.5975166666666709
exp_metastable_MgCl2_mp-570259,mp-570259,MgCl2,exp_metastable,,,False,0.0006391266666669893,MgCl2 -> Mg + Cl2,-0.4634999999999998,-0.15449999999999994
exp_metastable_MgH2_mp-23711,mp-23711,MgH2,exp_metastable,,,False,0.0018755891666670799,MgH2 -> Mg + H2,5.292710000000017,0.4410591666666681
exp_metastable_MgPd3_mp-7753,mp-7753,MgPd3,exp_metastable,,,False,0.01137175124999068,MgPd3 -> Mg + 3 Pd,22.39867999999998,5.599669999999995
exp_metastable_Mo3Se4_mp-21021,mp-21021,Mo3Se4,exp_metastable,,,False,0.06087143499999925,0.3333 Mo3Se4 -> Mo + 1.333 Se,39.33515000000001,2.8096535714285724
exp_metastable_NaN3_mp-1066400,mp-1066400,NaN3,exp_metastable,,,False,0.0029249474999994973,NaN3 -> Na + 1.5 N2,7.196615000000058,1.7991537500000145
exp_metastable_Nb2O5_mp-1595,mp-1595,Nb2O5,exp_metastable,,,False,0.007537548265307947,0.5 Nb2O5 -> Nb + 1.25 O2,14.482328750000079,2.068904107142868
exp_metastable_NiB_mp-14019,mp-14019,NiB,exp_metastable,,,False,0.0018463106250017347,NiB -> Ni + B,3.2368733333333424,0.8092183333333356
exp_metastable_NiHg4_mp-570835,mp-570835,NiHg4,exp_metastable,,,False,0.01705295800000073,NiHg4 -> Ni + 4 Hg,1.8045933333333366,0.36091866666666733
exp_metastable_NiS_mp-1547,mp-1547,NiS,exp_metastable,,,False,0.014181840833332515,NiS -> Ni + S,6.885729374999993,1.1476215624999988
exp_metastable_PS_mp-612,mp-612,PS,exp_metastable,,,False,0.026489451484373205,PS -> P + S,0.4068169047618255,0.025426056547614095
exp_metastable_PbAu2_mp-19871,mp-19871,PbAu2,exp_metastable,,,False,0.004742635416668861,PbAu2 -> Pb + 2 Au,65.65555000000009,10.942591666666681
exp_metastable_PbSe_mp-22009,mp-22009,PbSe,exp_metastable,,,False,0.07310882999999535,PbSe -> Pb + Se,11.809650000000008,2.952412500000002
exp_metastable_Rb2Hg7_mp-31474,mp-31474,Rb2Hg7,exp_metastable,,,False,0.00452349037037425,0.5 Rb2Hg7 -> Rb + 3.5 Hg,10.656888333333384,1.1840987037037094
exp_metastable_Re3Ge7_mp-29141,mp-29141,Re3Ge7,exp_metastable,,,False,0.012616640750003683,0.3333 Re3Ge7 -> Re + 2.333 Ge,4.913719999999898,0.2456859999999949
exp_metastable_SiO2_mp-546794,mp-546794,SiO2,exp_metastable,,,False,0.005647450555557043,SiO2 -> Si + O2,-12.85172499999996,-2.1419541666666597
exp_metastable_SiRh_mp-2287,mp-2287,SiRh,exp_metastable,,,False,0.02456185499999819,SiRh -> Si + Rh,8.30537000000001,1.0381712500000013
exp_metastable_SiS2_mp-1095294,mp-1095294,SiS2,exp_metastable,,,False,0.003013171666665926,SiS2 -> Si + 2 S,-11.952554999999919,-0.9960462499999932
