compound_id,mp_id,formula,family,bond_type,is_metal,theoretical,energy_above_hull_eV_per_atom,reaction_string,delta_icohp_windowed_total,delta_icohp_windowed_per_atom
exp_metastable_AgO_mp-1079720,mp-1079720,AgO,exp_metastable,,False,False,0.04234811749999956,AgO -> Ag + 0.5 O2,0.8079599999999978,0.10099499999999972
exp_metastable_Al12W_mp-11227,mp-11227,Al12W,exp_metastable,,True,False,0.01520368538461625,0.08333 Al12W -> Al + 0.08333 W,1.5436599999999903,0.11874307692307617
exp_metastable_Al3Os2_mp-16521,mp-16521,Al3Os2,exp_metastable,,True,False,0.007409683000005884,0.3333 Al3Os2 -> Al + 0.6667 Os,0.5267799999999976,0.10535599999999952
exp_metastable_AsPd2_mp-1080831,mp-1080831,AsPd2,exp_metastable,,True,False,0.011756747500001552,AsPd2 -> As + 2 Pd,-13.37830500000001,-1.4864783333333345
exp_metastable_AsRh2_mp-1102364,mp-1102364,AsRh2,exp_metastable,,True,False,0.08062063166666178,AsRh2 -> As + 2 Rh,-6.33782000000002,-0.5281516666666684
exp_metastable_AsRh_mp-22079,mp-22079,AsRh,exp_metastable,,True,False,0.026917590833335225,AsRh -> As + Rh,-5.3561600000000125,-0.6695200000000016
exp_metastable_BaSn5_mp-571353,mp-571353,BaSn5,exp_metastable,,True,False,0.026217794166670583,BaSn5 -> Ba + 5 Sn,-1.3724849999999975,-0.22874749999999958
exp_metastable_Be12Pd_mp-12666,mp-12666,Be12Pd,exp_metastable,,True,False,0.07945158115384565,0.08333 Be12Pd -> Be + 0.08333 Pd,-5.127740000000012,-0.39444153846153934
exp_metastable_CaGa2_mp-992,mp-992,CaGa2,exp_metastable,,True,False,0.016981658333333982,CaGa2 -> Ca + 2 Ga,0.06864499999999923,0.02288166666666641
exp_metastable_CaGa4_mp-2461,mp-2461,CaGa4,exp_metastable,,True,False,0.0016006820000011857,CaGa4 -> Ca + 4 Ga,0.7432199999999995,0.14864399999999992
exp_metastable_CdI2_mp-567259,mp-567259,CdI2,exp_metastable,,False,False,0.0005410511111105798,CdI2 -> Cd + 2 I,0.5890500000000015,0.1963500000000005
exp_metastable_CdO2_mp-2310,mp-2310,CdO2,exp_metastable,,False,False,0.05623419000000052,CdO2 -> Cd + O2,1.662659999999991,0.13855499999999923
exp_metastable_ClF3_mp-556767,mp-556767,ClF3,exp_metastable,,False,False,0.0029946146875001745,2 ClF3 -> Cl2 + 3 F2,-16.540280000000024,-1.0337675000000015
exp_metastable_Cs2Se_mp-1011696,mp-1011696,Cs2Se,exp_metastable,,False,False,0.004232759166664213,0.5 Cs2Se -> Cs + 0.5 Se,-0.20716666666666983,-0.01726388888888915
exp_metastable_CsH_mp-632319,mp-632319,CsH,exp_metastable,,False,False,0.016097849999999525,CsH -> Cs + 0.5 H2,2.198666250000003,1.0993331250000016
exp_metastable_Cu3Ge_mp-19724,mp-19724,Cu3Ge,exp_metastable,,True,False,0.01263984624999992,0.3333 Cu3Ge -> Cu + 0.3333 Ge,-0.6645899999999996,-0.08307374999999995
exp_metastable_FeTe2_mp-1102002,mp-1102002,FeTe2,exp_metastable,,True,False,0.04490969833333569,FeTe2 -> Fe + 2 Te,-3.6030133333333327,-0.3002511111111111
exp_metastable_Ge4Rh_mp-1104286,mp-1104286,Ge4Rh,exp_metastable,,True,False,0.09073754899999997,0.25 Ge4Rh -> Ge + 0.25 Rh,-5.7623,-0.3841533333333333
exp_metastable_GeSe2_mp-10074,mp-10074,GeSe2,exp_metastable,,False,False,0.012493755416668861,GeSe2 -> Ge + 2 Se,-0.8340266666666671,-0.1390044444444445
exp_metastable_H2O_mp-2739191,mp-2739191,H2O,exp_metastable,,False,False,0.049447999166666534,H2O -> H2 + 0.5 O2,10.992660000000017,0.9160550000000014
exp_metastable_HI_mp-697025,mp-697025,HI,exp_metastable,,False,False,0.004366291041667303,2 HI -> H2 + 2 I,10.618820000000014,0.6636762500000009
exp_metastable_IF7_mp-27988,mp-27988,IF7,exp_metastable,,False,False,0.006252095624999399,IF7 -> I + 3.5 F2,-19.75156000000002,-1.2344725000000012
exp_metastable_In3Ir_mp-630976,mp-630976,In3Ir,exp_metastable,,True,False,0.004296428125002194,0.3333 In3Ir -> In + 0.3333 Ir,0.511580000000001,0.031973750000000065
exp_metastable_InCl_mp-571636,mp-571636,InCl,exp_metastable,,False,False,0.0016458790624991337,InCl -> In + 0.5 Cl2,-0.15632000000000112,-0.03908000000000028
exp_metastable_K2S_mp-559278,mp-559278,K2S,exp_metastable,,False,False,0.0872531616666663,0.5 K2S -> K + 0.5 S,-1.5909668750000008,-0.26516114583333344
exp_metastable_Li13Sn5_mp-30769,mp-30769,Li13Sn5,exp_metastable,,True,False,0.0033475494444448195,0.07692 Li13Sn5 -> Li + 0.3846 Sn,12.340719999999987,0.6855955555555548
exp_metastable_Li3Hg_mp-1646,mp-1646,Li3Hg,exp_metastable,,True,False,0.0012975900000000706,0.3333 Li3Hg -> Li + 0.3333 Hg,1.7921499999999977,0.4480374999999994
exp_metastable_MgCl2_mp-570259,mp-570259,MgCl2,exp_metastable,,False,False,0.0006391266666669893,MgCl2 -> Mg + Cl2,-0.9177800000000025,-0.3059266666666675
exp_metastable_MgH2_mp-23711,mp-23711,MgH2,exp_metastable,,False,False,0.0018755891666670799,MgH2 -> Mg + H2,15.938580000000009,1.3282150000000008
exp_metastable_MgPd3_mp-7753,mp-7753,MgPd3,exp_metastable,,True,False,0.01137175124999068,MgPd3 -> Mg + 3 Pd,-6.429280000000002,-1.6073200000000005
exp_metastable_Mo3Se4_mp-21021,mp-21021,Mo3Se4,exp_metastable,,True,False,0.06087143499999925,0.3333 Mo3Se4 -> Mo + 1.333 Se,-3.0245033333333344,-0.21603595238095247
exp_metastable_Nb2O5_mp-1595,mp-1595,Nb2O5,exp_metastable,,False,False,0.007537548265307947,0.5 Nb2O5 -> Nb + 1.25 O2,-1.8256925000000055,-0.2608132142857151
exp_metastable_NiB_mp-14019,mp-14019,NiB,exp_metastable,,True,False,0.0018463106250017347,NiB -> Ni + B,-4.011770000000002,-1.0029425000000005
exp_metastable_NiHg4_mp-570835,mp-570835,NiHg4,exp_metastable,,True,False,0.01705295800000073,NiHg4 -> Ni + 4 Hg,-2.357960000000002,-0.4715920000000004
exp_metastable_NiS_mp-1547,mp-1547,NiS,exp_metastable,,True,False,0.014181840833332515,NiS -> Ni + S,-5.544855312500011,-0.9241425520833352
exp_metastable_PS_mp-612,mp-612,PS,exp_metastable,,False,False,0.026489451484373205,PS -> P + S,-2.385240833333334,-0.14907755208333337
exp_metastable_PbAu2_mp-19871,mp-19871,PbAu2,exp_metastable,,True,False,0.004742635416668861,PbAu2 -> Pb + 2 Au,2.909950000000003,0.48499166666666715
exp_metastable_PbSe_mp-22009,mp-22009,PbSe,exp_metastable,,False,False,0.07310882999999535,PbSe -> Pb + Se,-0.03166333333333493,-0.007915833333333733
exp_metastable_Rb2Hg7_mp-31474,mp-31474,Rb2Hg7,exp_metastable,,True,False,0.00452349037037425,0.5 Rb2Hg7 -> Rb + 3.5 Hg,2.687069999999999,0.29856333333333324
exp_metastable_Re3Ge7_mp-29141,mp-29141,Re3Ge7,exp_metastable,,True,False,0.012616640750003683,0.3333 Re3Ge7 -> Re + 2.333 Ge,-2.0458600000000002,-0.10229300000000001
exp_metastable_SiO2_mp-546794,mp-546794,SiO2,exp_metastable,,False,False,0.005647450555557043,SiO2 -> Si + O2,-4.436139999999999,-0.7393566666666666
exp_metastable_SiRh_mp-2287,mp-2287,SiRh,exp_metastable,,True,False,0.02456185499999819,SiRh -> Si + Rh,-6.048220000000008,-0.756027500000001
exp_metastable_SiS2_mp-1095294,mp-1095294,SiS2,exp_metastable,,False,False,0.003013171666665926,SiS2 -> Si + 2 S,-4.3389675000000025,-0.3615806250000002
exp_metastable_Sn7Ir5_mp-20466,mp-20466,Sn7Ir5,exp_metastable,,True,False,0.002421364999996456,0.1429 Sn7Ir5 -> Sn + 0.7143 Ir,-8.669840000000002,-0.7224866666666668
exp_metastable_Sr2As_mp-15697,mp-15697,Sr2As,exp_metastable,,True,False,0.08000544425926037,0.5 Sr2As -> Sr + 0.5 As,-1.2978500000000004,-0.2163083333333334
exp_metastable_Sr5Sn3_mp-17720,mp-17720,Sr5Sn3,exp_metastable,,True,False,0.003021452500000521,0.2 Sr5Sn3 -> Sr + 0.6 Sn,-3.934510000000002,-0.24590687500000014
exp_metastable_SrAl2_mp-1638,mp-1638,SrAl2,exp_metastable,,True,False,0.013571949999999333,SrAl2 -> Sr + 2 Al,0.7080199999999974,0.1180033333333329
exp_metastable_Ta7Co6_mp-1104548,mp-1104548,Ta7Co6,exp_metastable,,True,False,0.0014632612820477675,0.1429 Ta7Co6 -> Ta + 0.8571 Co,13.306929999999994,1.0236099999999995
exp_metastable_Te2Au_mp-567525,mp-567525,Te2Au,exp_metastable,,True,False,0.027432493333336083,0.5 Te2Au -> Te + 0.5 Au,1.6937266666666688,0.5645755555555563
exp_metastable_Te2Ir_mp-1551,mp-1551,Te2Ir,exp_metastable,,True,False,0.0030421406944398655,0.5 Te2Ir -> Te + 0.5 Ir,-3.370819999999997,-0.37453555555555523
exp_metastable_Ti3Ge_mp-1189044,mp-1189044,Ti3Ge,exp_metastable,,True,False,0.013003969652777059,0.3333 Ti3Ge -> Ti + 0.3333 Ge,-3.2519799999999837,-0.20324874999999898
exp_metastable_Y2O3_mp-558573,mp-558573,Y2O3,exp_metastable,,False,False,0.03422779625000061,0.5 Y2O3 -> Y + 0.75 O2,-5.261172500000005,-0.35074483333333367
exp_metastable_ZnAg_mp-1912,mp-1912,ZnAg,exp_metastable,,True,False,0.011211470555556602,ZnAg -> Zn + Ag,1.2017750000000011,0.6008875000000006
exp_metastable_ZrBr_mp-1065846,mp-1065846,ZrBr,exp_metastable,,True,False,0.0007946975000017176,ZrBr -> Zr + Br,-0.5880999999999985,-0.14702499999999963
exp_metastable_ZrGa3_mp-30685,mp-30685,ZrGa3,exp_metastable,,True,False,0.013019501250001397,ZrGa3 -> Zr + 3 Ga,-0.6344424999999991,-0.15861062499999978
exp_metastable_ZrRh_mp-2808,mp-2808,ZrRh,exp_metastable,,True,False,0.08393397999999763,ZrRh -> Zr + Rh,-1.125725000000001,-0.5628625000000005
exp_stable_As2S3_mp-1189572,mp-1189572,As2S3,exp_stable,,False,False,0.0,0.5 As2S3 -> As + 1.5 S,-0.8299312500000031,-0.04149656250000015
exp_stable_AsF3_mp-28027,mp-28027,AsF3,exp_stable,,False,False,0.0,AsF3 -> As + 1.5 F2,-11.643479999999995,-0.7277174999999997
exp_stable_BI3_mp-23189,mp-23189,BI3,exp_stable,,False,False,0.0,BI3 -> B + 3 I,-3.588149999999998,-0.44851874999999974
exp_stable_BW_mp-7832,mp-7832,BW,exp_stable,,True,False,0.0,BW -> B + W,5.631570000000003,0.7039462500000003
exp_stable_BaAu2_mp-30363,mp-30363,BaAu2,exp_stable,,True,False,0.0,BaAu2 -> Ba + 2 Au,1.3296149999999995,0.44320499999999985
exp_stable_BaCl2_mp-568662,mp-568662,BaCl2,exp_stable,,False,False,0.0,BaCl2 -> Ba + Cl2,-2.577895000000002,-0.859298333333334
exp_stable_BaH2_mp-23715,mp-23715,BaH2,exp_stable,,False,False,0.0,BaH2 -> Ba + H2,11.114430000000006,0.9262025000000005
exp_stable_Be2Cu_mp-2031,mp-2031,Be2Cu,exp_stable,,True,False,0.0,0.5 Be2Cu -> Be + 0.5 Cu,-2.233929999999999,-0.3723216666666665
exp_stable_Be2Nb3_mp-11272,mp-11272,Be2Nb3,exp_stable,,True,False,0.0,0.5 Be2Nb3 -> Be + 1.5 Nb,-3.999649999999999,-0.3999649999999999
exp_stable_Be2V_mp-11281,mp-11281,Be2V,exp_stable,,True,False,0.0,0.5 Be2V -> Be + 0.5 V,-7.475610000000005,-0.6229675000000005
exp_stable_CaAl4_mp-1749,mp-1749,CaAl4,exp_stable,,True,False,0.0,CaAl4 -> Ca + 4 Al,1.8395399999999957,0.3679079999999991
exp_stable_CaSn_mp-2450,mp-2450,CaSn,exp_stable,,True,False,0.0,CaSn -> Ca + Sn,-1.6847400000000028,-0.4211850000000007
exp_stable_CdPd_mp-1696,mp-1696,CdPd,exp_stable,,True,False,0.0,CdPd -> Cd + Pd,-3.508880000000002,-0.8772200000000006
exp_stable_CoB_mp-20857,mp-20857,CoB,exp_stable,,True,False,0.0,CoB -> Co + B,0.805409999999994,0.10067624999999925
exp_stable_Cs2As3_mp-15557,mp-15557,Cs2As3,exp_stable,,False,False,0.0,0.5 Cs2As3 -> Cs + 1.5 As,0.3431399999999951,0.03431399999999951
exp_stable_FeS_mp-505531,mp-505531,FeS,exp_stable,,True,False,0.0,FeS -> Fe + S,-0.4426268750000013,-0.11065671875000033
exp_stable_Ge2Os_mp-10032,mp-10032,Ge2Os,exp_stable,,True,False,0.0,0.5 Ge2Os -> Ge + 0.5 Os,-0.9678700000000011,-0.16131166666666685
exp_stable_HfTc2_mp-1095669,mp-1095669,HfTc2,exp_stable,,True,False,0.0,HfTc2 -> Hf + 2 Tc,4.465680000000006,0.3721400000000005
exp_stable_Hg4Pt_mp-936,mp-936,Hg4Pt,exp_stable,,True,False,0.0,0.25 Hg4Pt -> Hg + 0.25 Pt,-1.346909999999999,-0.2693819999999998
